τ (Å),τ-equivalences,δ-equivalences,δ-r.m.s. (Å)
0.5,15,15,0.3
1.0,34,34,0.56
1.5,70,70,0.72
2.0,77,77,0.85
2.5,28,6,6.24
3.0,21,3,7.07
