τ (Å),τ-equivalences,δ-equivalences,δ-r.m.s. (Å)
0.5,12,12,0.32
1.0,15,15,0.83
1.5,19,19,0.96
2.0,30,30,1.24
2.5,38,37,1.46
3.0,43,40,1.68
