τ (Å),τ-equivalences,δ-equivalences,δ-r.m.s. (Å)
0.5,17,17,0.38
1.0,36,36,0.61
1.5,53,53,0.74
2.0,70,69,1.03
2.5,92,92,1.1
3.0,115,115,1.19
