τ (Å),τ-equivalences,δ-equivalences,δ-r.m.s. (Å)
0.5,8,8,0.22
1.0,12,12,1.03
1.5,13,12,1.92
2.0,19,8,4.88
2.5,22,13,3.52
3.0,26,23,2.17
